Temperature/K,Pressure/kPa,Specific_density[Liquid]/kg/m3,cmp1ID,cmp1name,SMILES,Viscosity[Liquid]/Pa&#8226;s,Electrical_conductivity[Liquid]/S/m
328,101.325,1099.2,ABDDcr,N-octylethylenediammonium trifluoroacetate,FC(C(=O)[O-])(F)F.C(CCCCCCC)[NH2+]CC[NH3+].FC(C(=O)[O-])(F)F,0.0715,0.096
323,101.325,1104.0,ABDDcr,N-octylethylenediammonium trifluoroacetate,FC(C(=O)[O-])(F)F.C(CCCCCCC)[NH2+]CC[NH3+].FC(C(=O)[O-])(F)F,0.0908,0.0778
318,101.325,1107.8,ABDDcr,N-octylethylenediammonium trifluoroacetate,FC(C(=O)[O-])(F)F.C(CCCCCCC)[NH2+]CC[NH3+].FC(C(=O)[O-])(F)F,0.118,0.061
313,101.325,1111.4,ABDDcr,N-octylethylenediammonium trifluoroacetate,FC(C(=O)[O-])(F)F.C(CCCCCCC)[NH2+]CC[NH3+].FC(C(=O)[O-])(F)F,0.158,0.0475
308,101.325,1115.6,ABDDcr,N-octylethylenediammonium trifluoroacetate,FC(C(=O)[O-])(F)F.C(CCCCCCC)[NH2+]CC[NH3+].FC(C(=O)[O-])(F)F,0.211,0.0365
318,101.325,1472.0,ABZTca,1-propylpyridinium bis((trifluoromethyl)sulfonyl)amide,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CC)[N+]1=CC=CC=C1,0.0233,0.83
323,101.325,1467.2,ABZTca,1-propylpyridinium bis((trifluoromethyl)sulfonyl)amide,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CC)[N+]1=CC=CC=C1,0.0198,0.955
328,101.325,1462.5,ABZTca,1-propylpyridinium bis((trifluoromethyl)sulfonyl)amide,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CC)[N+]1=CC=CC=C1,0.0171,1.083
298,101.325,1402.0,ABbjbS,"1,1,3,3-tetramethyl-4-butylguanidinium bromotrichloroferrate(III)",CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),0.1154,0.1037
293,101.325,1409.0,ABbjbS,"1,1,3,3-tetramethyl-4-butylguanidinium bromotrichloroferrate(III)",CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),0.1558,0.0923
288,101.325,1426.0,ABbjbS,"1,1,3,3-tetramethyl-4-butylguanidinium bromotrichloroferrate(III)",CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),0.2186,0.0791
283,101.325,1441.0,ABbjbS,"1,1,3,3-tetramethyl-4-butylguanidinium bromotrichloroferrate(III)",CCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),0.317,0.0656
313,101.325,1429.0,ABWPJz,"1,1,3,3-tetramethyl-4-ethylguanidinium bromotrichloroferrate(III)",CC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),0.02989,0.1618
