333,101.325,985.27,AAsjhd,1-butyl-1-methylpyrrolidinium tricyanomethanide,CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],0.00979,2.05,"1-butyl-1-methylpyrrolidin-1-ium;2,2-dicyanoethenylideneazanide"
336,101.325,1499.16,ABWiGS,1-ethylpyridinium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[N+]1=CC=CC=C1,0.013,2.11,bis(trifluoromethylsulfonyl)azanide;1-ethylpyridin-1-ium
303,101.325,1025.8,AAstXF,1-hexyl-3-methylimidazolium dicyanamide,CCCCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,0.04132,0.626,cyanoiminomethylideneazanide;1-hexyl-3-methylimidazol-3-ium
298,101.325,1412.2,ABenah,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)[N+]1=CC=C(C=C1)C,0.05633,0.341,bis(trifluoromethylsulfonyl)azanide;1-butyl-4-methylpyridin-1-ium
293,101.325,1104.8,ACUoWK,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F.C[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,0.727,0.0046,"methyl(trioctyl)azanium;1,1,1-trifluoro-N-(trifluoromethylsulfonyl)methanesulfonamide"
328,101.325,862.2,ACVzVV,trihexyltetradecylphosphonium decanoate,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CCCCCCCCCC(=O)[O-],0.1049,0.00763,decanoate;trihexyl(tetradecyl)phosphanium
348,101.325,1331.0,ABjxpz,triethyl(2-methoxyethyl)phosphonium bis((trifluoromethyl)sulfonyl)amide,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(C)[P+](CCOC)(CC)CC,0.01015,1.45,bis(trifluoromethylsulfonyl)azanide;triethyl(2-methoxyethyl)phosphanium
298,101.325,1385.5,ABgkBC,"N,N,N-triethyl-2-methoxyethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(C)[N+](CCOC)(CC)CC,0.085,0.21,bis(trifluoromethylsulfonyl)azanide;triethyl(2-methoxyethyl)azanium
283,101.325,1029.6,AAxZAm,3-hexyl-1-methylimidazolium tricyanomethanide,C(#N)[C-](C#N)C#N.C(CCCCC)[N+]1=CN(C=C1)C,0.091,0.14,ethanetricarbonitrile;1-hexyl-3-methylimidazol-1-ium
353,101.325,1462.9,ABcXki,1-(2-methoxyethyl)pyridinium bis(trifluoromethylsulfonyl)amide,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.COCC[N+]1=CC=CC=C1,0.01033,0.936,bis(trifluoromethylsulfonyl)azanide;1-(2-methoxyethyl)pyridin-1-ium
